input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
197,0x00C5,0x0E08,0.007953,7.953
198,0x00C6,0x0E11,0.007196,7.196
199,0x00C7,0x0E1A,0.007801,7.801
200,0x00C8,0x0E24,0.007017,7.017
201,0x00C9,0x0E2D,0.007931,7.931
202,0x00CA,0x0E36,0.007000,7.000
203,0x00CB,0x0E3F,0.007232,7.232
204,0x00CC,0x0E48,0.007846,7.846
205,0x00CD,0x0E50,0.007881,7.881
206,0x00CE,0x0E59,0.007009,7.009
207,0x00CF,0x0E62,0.007281,7.281
208,0x00D0,0x0E6B,0.007824,7.824
209,0x00D1,0x0E74,0.007957,7.957
210,0x00D2,0x0E7D,0.007857,7.857
211,0x00D3,0x0E86,0.007045,7.045
212,0x00D4,0x0E8F,0.007939,7.939
213,0x00D5,0x0E97,0.007021,7.021
214,0x00D6,0x0EA0,0.007026,7.026
215,0x00D7,0x0EA9,0.007916,7.916
216,0x00D8,0x0EB2,0.007041,7.041
217,0x00D9,0x0EBA,0.007912,7.912
218,0x00DA,0x0EC3,0.007011,7.011
219,0x00DB,0x0ECC,0.006996,6.996
220,0x00DC,0x0ED4,0.006967,6.967
221,0x00DD,0x0EDD,0.007177,7.177
222,0x00DE,0x0EE5,0.007945,7.945
223,0x00DF,0x0EEE,0.007983,7.983
224,0x00E0,0x0EF7,0.007978,7.978
225,0x00E1,0x0EFF,0.007868,7.868
226,0x00E2,0x0F08,0.007134,7.134
227,0x00E3,0x0F10,0.007938,7.938
228,0x00E4,0x0F19,0.007999,7.999
229,0x00E5,0x0F21,0.007998,7.998
230,0x00E6,0x0F2A,0.007996,7.996
231,0x00E7,0x0F32,0.007959,7.959
232,0x00E8,0x0F3A,0.007988,7.988
233,0x00E9,0x0F43,0.007976,7.976
234,0x00EA,0x0F4B,0.007983,7.983
235,0x00EB,0x0F53,0.007972,7.972
236,0x00EC,0x0F5C,0.008014,8.014
237,0x00ED,0x0F64,0.007851,7.851
238,0x00EE,0x0F6C,0.007169,7.169
239,0x00EF,0x0F75,0.007924,7.924
240,0x00F0,0x0F7D,0.007980,7.980
241,0x00F1,0x0F85,0.007987,7.987
242,0x00F2,0x0F8E,0.007994,7.994
243,0x00F3,0x0F96,0.007981,7.981
244,0x00F4,0x0F9E,0.007819,7.819
245,0x00F5,0x0FA6,0.007021,7.021
246,0x00F6,0x0FAE,0.007957,7.957
247,0x00F7,0x0FB6,0.007082,7.082
248,0x00F8,0x0FBF,0.008007,8.007
249,0x00F9,0x0FC7,0.008004,8.004
250,0x00FA,0x0FCF,0.008052,8.052
251,0x00FB,0x0FD7,0.007805,7.805
252,0x00FC,0x0FDF,0.007019,7.019
253,0x00FD,0x0FE7,0.007920,7.920
254,0x00FE,0x0FEF,0.007151,7.151
255,0x00FF,0x0FF7,0.007840,7.840
256,0x0100,0x1000,0.007057,7.057
257,0x0101,0x1007,0.007922,7.922
258,0x0102,0x100F,0.007182,7.182
259,0x0103,0x1017,0.008047,8.047
260,0x0104,0x101F,0.008062,8.062
261,0x0105,0x1027,0.007654,7.654
262,0x0106,0x102F,0.007066,7.066
263,0x0107,0x1037,0.007896,7.896
264,0x0108,0x103F,0.007018,7.018
265,0x0109,0x1047,0.007072,7.072
266,0x010A,0x104F,0.007874,7.874
267,0x010B,0x1057,0.007031,7.031
268,0x010C,0x105E,0.007047,7.047
269,0x010D,0x1066,0.007873,7.873
270,0x010E,0x106E,0.006995,6.995
271,0x010F,0x1076,0.007009,7.009
272,0x0110,0x107E,0.006961,6.961
273,0x0111,0x1085,0.007071,7.071
274,0x0112,0x108D,0.007919,7.919
275,0x0113,0x1095,0.006983,6.983
276,0x0114,0x109C,0.007055,7.055
277,0x0115,0x10A4,0.007923,7.923
278,0x0116,0x10AC,0.007023,7.023
279,0x0117,0x10B4,0.007055,7.055
280,0x0118,0x10BB,0.007870,7.870
281,0x0119,0x10C3,0.007039,7.039
282,0x011A,0x10CA,0.007052,7.052
283,0x011B,0x10D2,0.007884,7.884
284,0x011C,0x10DA,0.007029,7.029
285,0x011D,0x10E1,0.006986,6.986
286,0x011E,0x10E9,0.007940,7.940
287,0x011F,0x10F0,0.007057,7.057
288,0x0120,0x10F8,0.007893,7.893
289,0x0121,0x1100,0.007061,7.061
290,0x0122,0x1107,0.007023,7.023
291,0x0123,0x110F,0.007896,7.896
292,0x0124,0x1116,0.007025,7.025
293,0x0125,0x111E,0.006969,6.969
294,0x0126,0x1125,0.007050,7.050
295,0x0127,0x112C,0.007929,7.929
296,0x0128,0x1134,0.007000,7.000
297,0x0129,0x113B,0.007041,7.041
298,0x012A,0x1143,0.007917,7.917
299,0x012B,0x114A,0.007020,7.020
300,0x012C,0x1152,0.007049,7.049
301,0x012D,0x1159,0.007865,7.865
302,0x012E,0x1160,0.007050,7.050
303,0x012F,0x1168,0.007038,7.038
304,0x0130,0x116F,0.007917,7.917
305,0x0131,0x1176,0.007004,7.004
306,0x0132,0x117E,0.007063,7.063
307,0x0133,0x1185,0.007887,7.887
308,0x0134,0x118C,0.007048,7.048
309,0x0135,0x1194,0.007940,7.940
310,0x0136,0x119B,0.007110,7.110
311,0x0137,0x11A2,0.007851,7.851
312,0x0138,0x11A9,0.007042,7.042
313,0x0139,0x11B1,0.007925,7.925
314,0x013A,0x11B8,0.006981,6.981
315,0x013B,0x11BF,0.007062,7.062
316,0x013C,0x11C6,0.007908,7.908
317,0x013D,0x11CD,0.007026,7.026
318,0x013E,0x11D5,0.007035,7.035
319,0x013F,0x11DC,0.007884,7.884
320,0x0140,0x11E3,0.007060,7.060
321,0x0141,0x11EA,0.007028,7.028
322,0x0142,0x11F1,0.007917,7.917
323,0x0143,0x11F8,0.007071,7.071
324,0x0144,0x1200,0.007885,7.885
325,0x0145,0x1207,0.006988,6.988
326,0x0146,0x120E,0.007051,7.051
327,0x0147,0x1215,0.007914,7.914
328,0x0148,0x121C,0.006983,6.983
329,0x0149,0x1223,0.006965,6.965
330,0x014A,0x122A,0.007028,7.028
331,0x014B,0x1231,0.006960,6.960
332,0x014C,0x1238,0.007033,7.033
333,0x014D,0x123F,0.006953,6.953
334,0x014E,0x1246,0.006970,6.970
335,0x014F,0x124D,0.007020,7.020
336,0x0150,0x1254,0.007042,7.042
337,0x0151,0x125B,0.007903,7.903
338,0x0152,0x1262,0.007030,7.030
339,0x0153,0x1269,0.006962,6.962
340,0x0154,0x1270,0.007054,7.054
341,0x0155,0x1277,0.007904,7.904
342,0x0156,0x127E,0.006984,6.984
343,0x0157,0x1285,0.007057,7.057
344,0x0158,0x128C,0.007044,7.044
345,0x0159,0x1292,0.007872,7.872
346,0x015A,0x1299,0.006990,6.990
347,0x015B,0x12A0,0.007014,7.014
348,0x015C,0x12A7,0.006962,6.962
349,0x015D,0x12AE,0.007042,7.042
350,0x015E,0x12B5,0.007034,7.034
351,0x015F,0x12BC,0.007905,7.905
352,0x0160,0x12C2,0.007025,7.025
353,0x0161,0x12C9,0.007048,7.048
354,0x0162,0x12D0,0.007883,7.883
355,0x0163,0x12D7,0.007064,7.064
356,0x0164,0x12DE,0.007918,7.918
357,0x0165,0x12E4,0.006978,6.978
358,0x0166,0x12EB,0.007062,7.062
359,0x0167,0x12F2,0.007929,7.929
360,0x0168,0x12F9,0.007004,7.004
361,0x0169,0x1300,0.007963,7.963
362,0x016A,0x1306,0.007054,7.054
363,0x016B,0x130D,0.007897,7.897
