Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10596,102.9369,102.9258,0.011093,2.84 LSB,FAIL
10597,102.9417,102.9297,0.012044,3.08 LSB,FAIL
10598,102.9466,102.9336,0.012994,3.33 LSB,FAIL
10599,102.9514,102.9375,0.013945,3.57 LSB,FAIL
10600,102.9563,102.9414,0.014895,3.81 LSB,FAIL
10601,102.9612,102.9492,0.011939,3.06 LSB,FAIL
10602,102.9660,102.9531,0.012889,3.30 LSB,FAIL
10603,102.9709,102.9570,0.013838,3.54 LSB,FAIL
10604,102.9757,102.9609,0.014788,3.79 LSB,FAIL
10605,102.9806,102.9688,0.011831,3.03 LSB,FAIL
10606,102.9854,102.9727,0.012780,3.27 LSB,FAIL
10607,102.9903,102.9766,0.013728,3.51 LSB,FAIL
10608,102.9951,102.9805,0.014677,3.76 LSB,FAIL
10609,103.0000,102.9883,0.011719,3.00 LSB,FAIL
10610,103.0049,102.9922,0.012667,3.24 LSB,FAIL
10611,103.0097,102.9961,0.013615,3.49 LSB,FAIL
10612,103.0146,103.0000,0.014562,3.73 LSB,FAIL
10613,103.0194,103.0078,0.011603,2.97 LSB,FAIL
10614,103.0243,103.0117,0.012550,3.21 LSB,FAIL
10615,103.0291,103.0156,0.013497,3.46 LSB,FAIL
10616,103.0340,103.0195,0.014444,3.70 LSB,FAIL
10617,103.0388,103.0273,0.011484,2.94 LSB,FAIL
10618,103.0437,103.0312,0.012430,3.18 LSB,FAIL
10619,103.0485,103.0352,0.013376,3.42 LSB,FAIL
10620,103.0534,103.0391,0.014322,3.67 LSB,FAIL
10621,103.0582,103.0469,0.011361,2.91 LSB,FAIL
10622,103.0631,103.0508,0.012306,3.15 LSB,FAIL
10623,103.0679,103.0547,0.013251,3.39 LSB,FAIL
10624,103.0728,103.0586,0.014196,3.63 LSB,FAIL
10625,103.0776,103.0664,0.011234,2.88 LSB,FAIL
10626,103.0825,103.0703,0.012179,3.12 LSB,FAIL
10627,103.0873,103.0742,0.013123,3.36 LSB,FAIL
10628,103.0922,103.0781,0.014067,3.60 LSB,FAIL
10629,103.0970,103.0859,0.011104,2.84 LSB,FAIL
10630,103.1019,103.0898,0.012048,3.08 LSB,FAIL
10631,103.1067,103.0938,0.012991,3.33 LSB,FAIL
10632,103.1116,103.0977,0.013934,3.57 LSB,FAIL
10633,103.1164,103.1016,0.014877,3.81 LSB,FAIL
10634,103.1213,103.1094,0.011913,3.05 LSB,FAIL
10635,103.1261,103.1133,0.012855,3.29 LSB,FAIL
